1		Chassis	STRUCTURE GROUND
2		NC	
3	J19-G14	In	800 CPS 28V 5 PCT PHASE B
4	J19-A8	In	+28 VDC IMU STANDBY
5	J17-18	In	+28 VDC IMU OPERATE
6	J19-A22	Out	IMU FAIL
7	J10-36	In	IG ERROR
8	J19-K31, J10-7	In	OG ERROR
9	J19-K30, J10-2	In	MG ERROR
10	J10-14, J17-11	In	0 VDC IMU
11	J17-10, J17-25	In	0 VDC IMU
12	J19-G18	In	TEMPERATURE WITHIN LIMITS
13	J19-H18	Out	TEMPERATURE OUT OF LIMITS
14		NC	
15	J10-28	Out	IMU CAGE SIGNAL
16	J19-B8	Out	PULSE TORQUE POWER SUPPLY INHIBIT
17	J19-B7	In	0 VDC IMU
18	J17-5, J17-23	In	+28 VDC IMU OPERATE
19	J17-22	Out	+28 VDC TIME DELAY BAR
20	J19-G20	Out	ISS TURN ON REQUEST
21	J19-H16	In	IMU CAGE COMMAND
22	J17-19	In	+28 VDC TIME DELAY BAR
23	J5-16, J17-18	In	+28 VDC IMU OPERATE
24	J19-H20	In	ISS TURN ON DELAY COMPLETE
25	J5-42, J10-30, J17-11	In	0 VDC IMU
26	J19-B24	In	3200 CPS FEEDBACK HI
