				B1		Spare		C1		Spare		D1		Spare		F1		Spare		G1		Spare		H1		Spare					
				B2		Spare		C2		Spare		D2		Spare		F2		Spare		G2		Spare		H2		Spare					
A3		Spare		B3		Spare		C3		Spare		D3		Spare		F3		Spare		G3		Spare		H3		Spare		K3		Spare	
A4	J5-9	Out	+28 VDC IMU OPERATE	B4	J5-12	Out	+28 VDC IMU OPERATE	C4	J5-15	Out	+28 VDC IMU OPERATE	D4	J5-17	Out	+28 VDC IMU OPERATE	F4	J5-20	Out	+28 VDC IMU OPERATE	G4	J5-23	Out	+28 VDC IMU OPERATE	H4		Spare		K4	J5-24	Out	+28 VDC LGC BUS A
A5	J5-33	Out	0 VDC IMU	B5	J5-36	Out	0 VDC IMU	C5	J5-39	Out	0 VDC IMU	D5	J5-41	Out	0 VDC IMU	F5	J5-44	Out	0 VDC IMU	G5	J5-47	Out	0 VDC IMU	H5		Spare		K5		Spare	
A6	J5-18, J19-B6	Out	+28 VDC IMU OPERATE	B6	J19-A6, J19-C6	Out	+28 VDC IMU OPERATE	C6	J5-10, J19-B6	Out	+28 VDC IMU OPERATE	D6	J5-14, J19-F6	Out	+28 VDC IMU OPERATE	F6	J19-D6, J19-G6	Out	+28 VDC IMU OPERATE	G6	J5-22, J19-F6	Out	+28 VDC IMU OPERATE	H6		Spare		K6	J5-10, J19-G8	Out	+28 VDC IMU OPERATE
A7	J5-42, J19-B7	Out	0 VDC IMU	B7	J17-17, J19-A7, J19-C7	Out	0 VDC IMU	C7	J5-34, J19-D8, J19-B7	Out	0 VDC IMU	D7	J5-38, J19-F7	Out	0 VDC IMU	F7	J19-D7, J19-G7	Out	0 VDC IMU	G7	J5-46, J19-F7	Out	0 VDC IMU	H7		Spare		K7	J5-34, J19-G9	Out	0 VDC IMU
A8	J17-4	Out	+28 VDC IMU STANDBY	B8	J17-16, J19-C8	In	PULSE TORQUE POWER SUPPLY INHIBIT	C8	J19-B8	In	PULSE TORQUE POWER SUPPLY INHIBIT	D8	J19-C7	Out	0 VDC IMU	F8	J14-12	In	-28 VDC IMU	G8	J19-K6	Out	+28 VDC IMU OPERATE	H8	J5-11	Out	+28 VDC IMU OPERATE	K8	J5-21, J19-G16	Out	+28 VDC IMU OPERATE
A9		Spare		B9		Spare		C9		Spare		D9		Chassis	STRUCTURE GROUND	F9	J14-7	In	-28 VDC TP	G9	J19-K7	Out	0 VDC IMU	H9		Spare		K9		Spare	
A10		Spare		B10		Spare		C10		Spare		D10		Spare		F10		Spare		G10		Spare		H10	J19-H11	In	800 CPS 28V 1 PCT HI	K10	J19-K11	In	800 CPS 28V 1 PCT LO
A11		Spare		B11		Spare		C11		Spare		D11	J2-15, J9-8	In	800 CPS 28V 5 PCT PHASE A	F11	J2-13, J13-14, J9-4	In	800 CPS 28V 5 PCT COMMON	G11	J13-16, J9-10	In	800 CPS 28V 5 PCT PHASE B	H11	J1-13, J19-H10, J19-H12	In	800 CPS 28V 1 PCT HI	K11	J1-14, J19-K10, J19-K12	In	800 CPS 28V 1 PCT LO
