1		Chassis	STRUCTURE GROUND
2	J5-37	In	0 VDC IMU
3	J5-43	In	0 VDC IMU
4	J9-3, J1-14, J10-9	In	800 CPS 28V 1 PCT LO
5		Spare	
6		Spare	
7		Spare	
8		Spare	
9	J9-9, J1-13, J10-12	In	800 CPS 28V 1 PCT HI
10	J19-D15	Out	800 CPS 28V 5 PCT PHASE A TP
11	J5-13	In	+28 VDC IMU OPERATE
12	J5-19	In	+28 VDC IMU OPERATE
13	J19-F14, J2-14, J19-F11	Out	800 CPS 28V 5 PCT COMMON
14	J19-F12, J2-13, J19-F13	Out	800 CPS 28V 5 PCT COMMON
15	J19-D14, J2-16, J19-D11	Out	800 CPS 28V 5 PCT PHASE A
16	J19-D12, J2-15, J19-D13	Out	800 CPS 28V 5 PCT PHASE A
