1		Chassis	STRUCTURE GROUND
2	J12-2, J5-3	Out	+28 VDC FOR 3200 CPS POWER SUPPLY
3	J5-2	Out	+28 VDC FOR 3200 CPS POWER SUPPLY
4		Spare	
5		Spare	
6		Spare	
7		Spare	
8		Spare	
9	J19-A4, J5-10	In	+28 VDC IMU OPERATE
10	J19-K6, J19-C6, J5-9, J5-11	In	+28 VDC IMU OPERATE
11	J19-H8, J1-6, J5-10, J5-12	In	+28 VDC IMU OPERATE
12	J13-11, J19-B4, J5-11, J5-13	In	+28 VDC IMU OPERATE
13	J2-11, J5-12, J5-14	In	+28 VDC IMU OPERATE
14	J19-D6, J5-13, J5-15	In	+28 VDC IMU OPERATE
15	J8-13, J19-C4, J5-14, J5-16	In	+28 VDC IMU OPERATE
16	J17-23, J5-15, J5-17	In	+28 VDC IMU OPERATE
17	J19-D4, J5-16, J5-18	In	+28 VDC IMU OPERATE
18	J10-34, J19-A6, J5-17, J5-19	In	+28 VDC IMU OPERATE
19	J2-12, J5-18, J5-20	In	+28 VDC IMU OPERATE
20	J13-12, J19-F4, J5-19, J5-21	In	+28 VDC IMU OPERATE
21	J19-K8, J14-4, J5-20, J5-22	In	+28 VDC IMU OPERATE
22	J19-G6, J5-21, J5-23	In	+28 VDC IMU OPERATE
23	J19-G4, J5-22	In	+28 VDC IMU OPERATE
24	J19-K4, J5-25	In	+28 VDC LGC BUS A
25	J5-24	In	+28 VDC LGC BUS A
26		Spare	
27		Spare	
28		Spare	
29		Spare	
30		Spare	
31		Spare	
32		Spare	
33	J19-A5, J5-34	In	0 VDC IMU
34	J19-K7, J19-C7, J5-33, J5-35	In	0 VDC IMU
35	J1-7, J5-34, J5-36	In	0 VDC IMU
36	J13-2, J19-B5, J5-35, J5-37	In	0 VDC IMU
37	J2-2, J5-36, J5-38	In	0 VDC IMU
38	J19-D7, J5-37, J5-39, J14-11	In	0 VDC IMU
39	J12-4, J19-C5, J5-38, J5-40	In	0 VDC IMU
40	J8-9, J5-39, J5-41	In	0 VDC IMU
41	J8-18, J19-D5, J5-40, J5-42	In	0 VDC IMU
42	J17-25, J19-A7, J5-41, J5-43	In	0 VDC IMU
43	J2-3, J5-42, J5-44	In	0 VDC IMU
44	J13-3, J19-F5, J5-43, J5-45	In	0 VDC IMU
45	J14-8, J5-44, J5-46	In	0 VDC IMU
46	J19-G7, J5-45, J5-47	In	0 VDC IMU
47	J19-G5, J5-46	In	0 VDC IMU
